Band,slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Video Link,Thumbnail,Order
Blame My Youth - Fantastic,900314188-share-copy,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b15cae9d6155981468eb,Thu Jan 18 2024 23:16:44 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:30 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900314188?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9beef6eb5f5704f78326c_BMY%20Fantastic.jpeg,1
Blame My Youth - Tentacles,bmy-tentacles,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b197925e1e92382779e0,Thu Jan 18 2024 23:17:43 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:34 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900314143?autoplay=1,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9be38f6e5e7808a240b18_BMY%20-%20Tent.jpeg,2
Blame My Youth - They Only Love You When You're Dead,blame-my-youth---they-only-love-you-when-youre-dead,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b37fb6aa6d758f90a67e,Thu Jan 18 2024 23:25:51 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:44:31 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900314108?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9bccc4ca8ad9c7d62b4c6_TOLYWYD.jpeg,11
Blame My Youth - Tour Recap,bmy-recap,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b1c4131c8c53cf43fd7d,Thu Jan 18 2024 23:18:28 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:39 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900314956?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9bde07ac6695bb67ad92c_BMY%20Tour.jpeg,3
Joseph - Conan,joseph-conan,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b3427204db0451621a7e,Thu Jan 18 2024 23:24:50 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:44:11 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900315023?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9bbf739b455e8b5ffe1bf_CONAN.jpg,8
Joseph - Green Eyes,joseph-green,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b222ae9d61559814f27c,Thu Jan 18 2024 23:20:02 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:43 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900430247?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9bcfc0f3de80d3d5b34d9_Green%20Eyes%20copy.jpg,4
Joseph - Revolving Door,joseph-revdoor,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b2714fac057f1fb44b3d,Thu Jan 18 2024 23:21:21 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:49 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900430195?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9b86020d51556b5534a81_rev%20door%20copy.jpg,5
Joseph - The Sun (CBS This Morning),joseph---the-sun-cbs-this-morning,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b29097fce3648782e601,Thu Jan 18 2024 23:21:52 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:55 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900430136?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9bc19dae657805199c8b0_THE%20SUN%20copy.jpg,6
MAdM - OOOM Tour,madm---ooom-tour,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b31d369246db586cf548,Thu Jan 18 2024 23:24:13 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:44:26 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900430397?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9b8929539ded2dc6d528c_MADM%20copy.jpg,10
Mercury Rev - Holes Live in Tel Aviv,mercury-rev---holes-live-in-tel-aviv,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b2d2114491df873fdd22,Thu Jan 18 2024 23:22:58 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:44:02 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900430322?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9b880126a439396a9853e_MERCURY%20REV%20copy.jpg,7
Morningwood on Kimmel,morningwood-on-kimmel,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9b2ea046ad85b24f1393a,Thu Jan 18 2024 23:23:22 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:44:20 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900430300?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9b8716762f44cbbc10d78_Morningwood%20copy.jpg,9
PRINCE,prince,65a9afbe4e04fffc38c5f053,65a9afbe5531aa55cc1123a7,65a9d06a3d353c83901b89fc,Fri Jan 19 2024 01:29:14 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:43:16 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900405601?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9d0687764605abd6be1dc_vumbnail.jpg,20
